SEQENCE ID                     TM SP PREDICTION
3FN4_WALAE                      0  Y n4-16c24/25o
3FN3_WALAE                      0  Y n4-16c21/22o
3FN5_WALAE                      0  Y n4-16c21/22o
APY_AEDAL                       0  Y n9-20c25/26o
BAGLU_SCUBA                     0  Y n10-21c25/26o
CIP2_HYPJQ                      0  Y n5-15c23/24o
EFCB_NEPCI                      0  Y n4-14c19/20o
GAOA_GIBZA                      0  Y n4-14c18/19o
IVB1_WALAE                      0  Y n5-16c24/25o
IVB2_WALAE                      0  Y n5-16c24/25o
IVB4_WALAE                      0  Y n3-13c17/18o
IVBMA_MICTN                     0  Y n5-16c24/25o
LECG_PATPE                      0  Y n6-16c21/22o
NXL1_AUSLA                      0  Y n4-16c24/25o
NXSM1_DENPO                     0  Y n4-16c21/22o
OXLA_DABRR                      0  Y n3-13c18/19o
PA2A1_ECHCA                     0  Y n4-12c16/17o
PA2A1_DABRR                     0  Y n4-12c16/17o
PA2A2_DABSI                     0  Y n4-12c16/17o
PA2A2_VIPRE                     0  Y n3-12c16/17o
PA2A3_VIPRE                     0  Y n4-12c16/17o
PA2AA_CROVV                     0  Y n4-12c16/17o
PA2AA_DABSI                     0  Y n4-12c16/17o
PA2AA_TRIPE                     0  Y n4-12c16/17o
PA2AA_TRIST                     0  Y n4-12c16/17o
PA2AB_CROVV                     0  Y n4-12c16/17o
PA2AD_CROVV                     0  Y n4-12c16/17o
PA2AD_TRIST                     0  Y n4-12c16/17o
PA2AE_CROVV                     0  Y n4-12c16/17o
PA2A_BOTER                      0  Y n4-12c16/17o
PA2AF_TRIST                     0  Y n3-12c16/17o
PA2A_MACLN                      0  Y n3-11c16/17o
PA2A_TRIBO                      0  Y n4-12c16/17o
PA2A_TRIGS                      0  Y n4-12c16/17o
PA2B1_DABSI                     0  Y n4-12c16/17o
PA2B1_DABRR                     0  Y n4-12c16/17o
PA2B1_PROEL                     0  Y n4-12c16/17o
PA2B1_PROFL                     0  Y n4-12c16/17o
PA2B2_DABRR                     0  Y n4-12c16/17o
PA2B2_PROFL                     0  Y n4-12c16/17o
PA2BB_SISCT                     0  Y n3-11c16/17o
PA2BN_CROVV                     0  Y n4-12c16/17o
PA2B_BOTSC                      0  Y n4-12c16/17o
PA2B_BUNFA                      0  Y n4-14c19/20o
PA2B_TRIBO                      0  Y n4-12c16/17o
PA2B_TRIPE                      0  Y n4-12c16/17o
PA2B_VIPRE                      0  Y n4-12c16/17o
PA2HA_TRIPE                     0  Y n4-12c16/17o
PA2HB_PROMU                     0  Y n4-12c16/17o
PA2HB_TRIBO                     0  Y n4-12c16/17o
PA2HB_TRIPE                     0  Y n4-12c16/17o
PA2HD_TRIST                     0  Y n4-12c16/17o
PA2HE_TRIST                     0  Y n4-12c16/17o
PA2HB_MICTN                     0  Y n9-20c24/25o
PA2HF_TRIST                     0  Y n4-12c16/17o
PA2HG_TRIST                     0  Y n4-12c16/17o
PA2HH_TRIST                     0  Y n4-12c16/17o
PA2HI_TRIST                     0  Y n4-12c16/17o
PA2HP_PROMU                     0  Y n4-12c16/17o
PEPA3_HUMAN                     0  Y n4-12c17/18o
PEPA4_HUMAN                     0  Y n4-12c17/18o
PEPA5_HUMAN                     0  Y n4-12c17/18o
PEPP_ALLCE                      0  Y n9-20c28/29o
PFI_PTIFI                       0  Y n6-17c21/22o
SAA1_HUMAN                      0  Y n3-14c18/19o
SNO1_TYRJA                      0  Y n5-16c24/25o
SOL5_ALTSO                      0  Y n3-14c19/20o
